step, L2error, MaxError, loss, elapsed_time, epoch_time, inference_time
0.000000000000000000e+00,1.163238406181335449e+00,3.388643860816955566e-01,6.799922943115234375e+01,1.330792903900146484e-01,1.330792903900146484e-01,1.127719879150390625e-04
1.000000000000000000e+00,9.963432550430297852e-01,2.845933735370635986e-01,1.721474266052246094e+01,1.353406906127929688e-01,2.261400222778320312e-03,4.744529724121093750e-05
2.000000000000000000e+00,1.191158056259155273e+00,2.796294689178466797e-01,1.820340156555175781e+01,1.374650001525878906e-01,2.124309539794921875e-03,7.200241088867187500e-05
3.000000000000000000e+00,1.046943902969360352e+00,2.294419109821319580e-01,2.383721160888671875e+01,1.397380828857421875e-01,2.273082733154296875e-03,5.125999450683593750e-05
4.000000000000000000e+00,7.745438814163208008e-01,1.689018905162811279e-01,1.838850021362304688e+01,1.417901515960693359e-01,2.052068710327148438e-03,4.744529724121093750e-05
5.000000000000000000e+00,7.017325758934020996e-01,2.029788494110107422e-01,1.002883720397949219e+01,1.438467502593994141e-01,2.056598663330078125e-03,4.386901855468750000e-05
6.000000000000000000e+00,9.227715730667114258e-01,2.714916765689849854e-01,6.150090217590332031e+00,1.458833217620849609e-01,2.036571502685546875e-03,4.601478576660156250e-05
7.000000000000000000e+00,1.144913077354431152e+00,3.204863965511322021e-01,8.053104400634765625e+00,1.478967666625976562e-01,2.013444900512695312e-03,4.363059997558593750e-05
8.000000000000000000e+00,1.236242294311523438e+00,3.356507122516632080e-01,1.207091999053955078e+01,1.499395370483398438e-01,2.042770385742187500e-03,4.339218139648437500e-05
9.000000000000000000e+00,1.180849194526672363e+00,3.244435191154479980e-01,1.399741935729980469e+01,1.523249149322509766e-01,2.385377883911132812e-03,8.463859558105468750e-05
1.000000000000000000e+01,1.041484951972961426e+00,2.961143255233764648e-01,1.279144096374511719e+01,1.544384956359863281e-01,2.113580703735351562e-03,4.887580871582031250e-05
1.100000000000000000e+01,8.720346689224243164e-01,2.582432925701141357e-01,9.935435295104980469e+00,1.565234661102294922e-01,2.084970474243164062e-03,7.247924804687500000e-05
1.200000000000000000e+01,7.411580085754394531e-01,2.168511897325515747e-01,7.345726490020751953e+00,1.585459709167480469e-01,2.022504806518554688e-03,5.006790161132812500e-05
1.300000000000000000e+01,6.843961477279663086e-01,1.812445819377899170e-01,6.113954544067382812e+00,1.605815887451171875e-01,2.035617828369140625e-03,4.601478576660156250e-05
1.400000000000000000e+01,6.786244511604309082e-01,1.568509936332702637e-01,6.241557121276855469e+00,1.635754108428955078e-01,2.993822097778320312e-03,4.363059997558593750e-05
1.500000000000000000e+01,6.915678381919860840e-01,1.531220972537994385e-01,7.012724399566650391e+00,1.666235923767089844e-01,3.048181533813476562e-03,4.887580871582031250e-05
